term,label,definition,notes,examples
vernacularNameSwedish,Vernacular Name (Swedish),Placeholder,Placeholder,Placeholder
redListStatusFinland,Red List Status (Finland),Placeholder,Placeholder,Placeholder
lajiturvaStatus,Lajiturva Status,Placeholder,Placeholder,Placeholder
regulatoryStatuses,Regulatory Statuses,Placeholder,Placeholder,Placeholder
taxonPreferredHabitat,Taxon Preferred Habitat,Placeholder,Placeholder,Placeholder
datasetCurationLevel,Dataset Curation Level,Placeholder,Placeholder,Placeholder
qualityControl,Quality Control,Placeholder,Placeholder,Placeholder
sourceName,Source Name,Placeholder,Placeholder,Placeholder
locationStatus,Location Status,Placeholder,Placeholder,Placeholder
pairCount,Pair Count,Placeholder,Placeholder,Placeholder
isBreedingLocation,Is Breeding Location,Placeholder,Placeholder,Placeholder
invasiveTaxonManagementAction,Invasive Taxon Management Action,Placeholder,Placeholder,Placeholder
isPublicLand,Is Public Land,Placeholder,Placeholder,Placeholder
gridCellYKJ,YKJ 10km Grid Cell,Placeholder,Placeholder,Placeholder
